yahoo.com,74.6.231.21
wikipedia.org,198.35.26.96
microsoft.com,20.236.44.162
taobao.com,59.82.122.115
blogspot.com,142.250.191.41
bing.com,13.107.21.200
youku.com,106.11.35.97
facebook.com,157.240.22.35
youtube.com,142.250.188.14
adobe.com,104.114.76.168
live.com,204.79.197.212
msn.com,204.79.197.219
baidu.com,39.156.66.10
sdjjdsaf.com,
apple.com,17.253.144.10
windows.com,20.231.239.246
ask.com,151.101.42.114
twitter.com,104.244.42.193
amazon.com,205.251.242.103
wordpress.com,192.0.78.9
ebay.com,66.211.163.120
yahoo.co.jp,182.22.31.124
mozilla.com,44.236.72.93
tmall.com,106.11.226.158
andysayler.com,159.89.253.85
sohu.com,61.135.164.50
about.com,151.101.194.137
qq.com,203.205.254.157
sogou.com,119.28.109.132
fc2.com,199.48.210.151
hao123.com,124.237.176.248
bbc.co.uk,151.101.128.81
paypal.com,64.4.250.36
rakuten.co.jp,133.237.16.234
pps.tv,116.211.199.233
yandex.ru,5.255.255.77
ifeng.com,82.156.59.186
orkut.com,216.239.34.21
skype.com,20.236.44.162
goo.ne.jp,114.179.184.93
tudou.com,106.11.43.71
go.com,13.248.150.189
wmfo.org,23.92.21.128
myspace.com,34.111.176.156
ameblo.jp,199.232.210.133
flickr.com,99.84.231.85
linkedin.com,13.107.42.14
sina.com.cn,36.51.254.91
cnet.com,34.149.196.126
amazon.co.jp,52.119.161.5
dailymotion.com,195.8.215.136
aol.com,54.161.105.65
imdb.com,52.94.225.248
naver.com,223.130.195.200
xunlei.com,112.124.227.84
soso.com,119.28.109.132
mail.ru,94.100.180.200
4399.com,129.211.129.109
163.com,123.58.180.8
4shared.com,204.155.149.42
orkut.com.br,137.116.211.8
ku6.com,117.50.1.222
56.com,183.232.65.145
