msn.com,204.79.197.219
yahoo.com,74.6.143.25
live.com,204.79.197.212
facebook.com,157.240.22.35
microsoft.com,20.76.201.171
youtube.com,142.250.191.46
blogspot.com,142.250.191.73
qq.com,203.205.254.157
wikipedia.org,198.35.26.96
twitter.com,104.244.42.193
ask.com,151.101.42.114
bing.com,204.79.197.200
taobao.com,106.11.226.158
adobe.com,104.123.154.155
sdjjdsaf.com,
mozilla.com,44.236.48.31
andysayler.com,159.89.253.85
wmfo.org,23.92.21.128
baidu.com,110.242.68.66
163.com,123.58.180.7
sina.com.cn,36.51.254.91
youku.com,106.11.43.215
soso.com,119.28.109.132
